rad,pmax,pmin,pmed,tmax,tmin,tmed,tomax,tomin,tomed,prec,urar,urmax,urmin,ventodir,rajada,ventovel
,1023.37,1019.64,-0.06874999999999999,26.5,14.9,19.920833333333334,16.9,12.3,14.3125,0.0,71.33333333333333,86.0,49.0,226.08333333333334,12.9,0.08750000000000001
,1022.01,1018.96,-0.085,25.7,14.7,19.604166666666668,18.2,13.8,15.987499999999999,0.0,80.61666666666666,96.0,61.0,223.58333333333334,8.0,0.15416666666666665
,1019.98,1013.88,-0.21250000000000002,26.8,17.7,21.158333333333335,19.9,16.4,18.204166666666666,3.3,83.97500000000001,94.0,65.0,202.875,17.7,0.4458333333333333
,1014.56,1010.5,-0.014166666666666666,26.4,18.5,21.0125,20.5,15.0,17.837500000000002,1.5,82.49166666666666,94.0,64.0,151.54166666666666,16.1,1.3291666666666666
,1017.95,1013.55,0.14041666666666666,25.2,15.4,19.533333333333335,16.7,12.6,14.033333333333333,0.0,71.74583333333334,94.0,48.0,86.70833333333333,12.9,0.9125000000000001
,1020.32,1016.26,0.09916666666666667,25.4,15.2,19.520833333333332,16.0,12.6,14.137500000000001,0.0,71.82916666666667,88.0,49.0,179.45833333333334,12.9,0.13333333333333333
,1019.98,1013.55,-0.255,24.4,15.4,19.679166666666667,18.4,13.9,16.679166666666667,0.0,83.325,95.0,68.0,210.29166666666666,14.5,0.5291666666666667
,1013.55,1007.45,-0.07083333333333335,27.8,18.0,20.9375,20.9,15.5,18.116666666666667,11.0,84.50833333333334,94.0,62.0,174.25,17.7,0.8291666666666666
,1015.24,1011.51,0.09916666666666668,24.2,13.9,18.158333333333335,15.6,3.7,12.083333333333334,0.0,68.37083333333334,83.0,49.0,122.29166666666667,12.9,0.6375
,1014.22,1006.43,-0.32666666666666666,21.1,11.9,15.370833333333332,7.6,3.3,4.933333333333334,0.0,50.15833333333333,62.0,38.0,209.91666666666666,25.7,1.3041666666666667
,1010.84,1001.69,0.17,24.2,13.1,17.695833333333333,12.3,4.4,9.383333333333333,0.0,58.69166666666666,68.0,44.0,117.04166666666667,19.3,1.5166666666666666
,1018.63,1009.82,0.32583333333333336,22.7,12.3,17.70416666666667,12.4,7.9,10.3375,0.0,62.5,77.0,49.0,112.5,27.4,3.7708333333333335
,1021.33,1017.95,0.1275,22.9,9.2,15.016666666666666,12.5,7.0,9.595833333333333,0.0,72.35833333333333,91.0,37.0,270.3333333333333,16.1,0.2916666666666667
,1023.37,1020.32,0.07083333333333335,23.4,10.2,15.262500000000001,15.1,9.5,11.941666666666668,0.0,82.04166666666667,96.0,57.0,213.125,8.0,0.2625
,1023.03,1018.29,-0.11583333333333334,23.9,10.9,17.037499999999998,15.7,10.1,13.183333333333332,0.0,80.05,96.0,53.0,203.66666666666666,12.9,0.5416666666666666
,1021.0,1017.95,-0.027916666666666676,24.8,13.8,18.575,17.2,12.2,15.375,0.0,82.70833333333333,95.0,59.0,234.91666666666666,9.7,0.375
,1022.35,1018.96,0.08458333333333334,24.8,14.5,19.191666666666666,18.1,13.7,16.166666666666668,0.0,83.71666666666667,96.0,64.0,184.66666666666666,14.5,0.6375000000000001
,1023.03,1018.63,-0.05041666666666666,25.7,16.1,20.108333333333334,18.2,15.2,16.912499999999998,0.0,82.95416666666667,97.0,62.0,203.83333333333334,16.1,0.9
,1021.33,1018.63,0.0024999999999999953,26.4,17.9,20.970833333333335,18.7,15.9,17.2,0.0,79.80833333333334,93.0,60.0,194.66666666666666,8.0,0.3333333333333333
,1020.66,1013.55,-0.24083333333333334,25.9,17.1,20.454166666666666,18.8,16.1,17.504166666666666,0.3,83.98333333333333,95.0,62.0,214.25,14.5,0.5875
,1015.24,1011.18,-0.15375,26.4,18.3,20.879166666666666,19.3,16.1,17.5,0.3,81.45833333333333,92.0,64.0,183.04166666666666,4.8,0.05833333333333333
,1012.53,1006.1,-0.05833333333333333,21.4,17.3,18.849999999999998,18.4,15.8,17.104166666666668,31.4,89.76666666666667,95.0,77.0,201.20833333333334,22.5,0.325
,1016.59,1010.16,0.2691666666666667,19.1,14.6,16.604166666666668,16.9,12.1,14.358333333333334,0.6,86.79583333333333,96.0,78.0,96.58333333333333,19.3,1.9833333333333334
,1020.32,1016.59,0.1275,17.1,12.7,14.125,12.1,7.9,8.887500000000001,0.0,70.90833333333333,82.0,60.0,56.708333333333336,19.3,2.0791666666666666
,1019.98,1014.22,-0.29450000000000004,17.1,11.9,13.805000000000001,13.6,9.6,11.93,12.2,88.66499999999999,94.0,73.0,187.8,6.4,0.015
,1019.3,1014.9,0.2781818181818182,16.1,14.7,15.281818181818181,13.6,10.5,11.863636363636363,3.0999999999999996,80.17272727272727,87.0,75.0,150.9090909090909,20.9,4.163636363636363
,1023.71,1018.96,0.19833333333333336,18.8,12.8,15.25,11.3,9.3,10.225,0.0,72.31666666666666,85.0,58.0,101.16666666666667,17.7,2.3625000000000003
,1025.06,1022.01,-0.02958333333333334,22.1,11.5,16.2625,14.9,10.1,12.525,0.3,79.3875,93.0,58.0,176.08333333333334,9.7,0.09166666666666667
,1022.69,1017.27,-0.21291666666666667,21.2,15.4,17.254166666666666,17.0,14.4,15.754166666666668,24.6,91.08333333333333,96.0,75.0,214.66666666666666,11.3,0.2625
,1017.61,1011.51,-0.14208333333333334,21.2,17.2,18.420833333333334,18.2,16.6,17.183333333333334,9.2,92.71666666666665,96.0,80.0,192.75,9.7,0.0375
,1014.56,1011.51,0.0425,19.0,16.8,17.7375,17.4,15.6,16.3875,4.8,91.89166666666667,96.0,85.0,109.125,11.3,0.24166666666666667
,1017.95,1014.22,0.12875,23.5,15.9,18.591666666666665,17.1,14.6,15.816666666666668,1.3,84.64166666666667,96.0,67.0,124.08333333333333,11.3,0.19166666666666665
,1019.3,1014.9,-0.09916666666666667,21.6,15.4,18.004166666666666,17.9,14.4,16.220833333333335,4.0,89.49166666666667,95.0,77.0,170.91666666666666,1.6,0.0
,1018.96,1012.53,0.15708333333333332,22.1,13.0,17.395833333333332,17.8,8.9,14.770833333333334,0.0,85.04583333333333,96.0,72.0,63.166666666666664,24.1,2.308333333333333
,1020.32,1015.58,-0.08416666666666667,17.9,8.4,13.012500000000001,10.0,4.5,7.495833333333334,0.0,70.35000000000001,91.0,48.0,178.70833333333334,14.5,0.6416666666666667
,1020.32,1015.92,0.14875,20.3,5.0,12.033333333333333,8.7,0.9,5.204166666666667,0.0,65.98333333333333,91.0,36.0,242.25,8.0,0.125
,1023.71,1019.64,0.14208333333333334,22.6,9.2,14.883333333333333,14.2,7.5,11.262500000000001,0.0,80.2625,94.0,56.0,158.54166666666666,14.5,0.6791666666666667
,1024.04,1020.66,-0.05708333333333334,21.7,11.5,16.254166666666666,14.5,10.7,13.0,0.0,81.90833333333333,96.0,62.0,216.70833333333334,8.0,0.07916666666666666
,1022.35,1016.93,-0.12750000000000003,22.1,13.7,17.041666666666668,14.8,12.8,13.924999999999999,0.0,82.825,96.0,59.0,197.83333333333334,12.9,0.6416666666666667
,1019.64,1012.53,-0.2833333333333334,22.7,13.6,17.837500000000002,16.7,12.8,15.141666666666666,0.0,85.0625,96.0,66.0,217.125,16.1,2.2083333333333335
,1012.87,1002.71,-0.1416666666666667,21.4,17.0,18.7375,18.1,14.1,16.666666666666668,2.7,87.8125,94.0,78.0,213.29166666666666,19.3,1.3583333333333334
,1022.69,1009.14,0.5666666666666668,20.4,11.3,15.641666666666667,14.1,8.1,10.804166666666667,0.5,73.70416666666667,88.0,55.0,115.08333333333333,19.3,1.0583333333333333
,1024.38,1019.98,-0.11333333333333333,19.7,9.1,14.708333333333334,13.3,8.1,10.970833333333333,0.0,79.01666666666667,95.0,61.0,233.04166666666666,16.1,0.7333333333333334
,1020.66,1016.93,-0.056666666666666664,23.0,13.8,17.654166666666665,14.8,12.1,13.445833333333333,0.0,77.66250000000001,94.0,55.0,218.91666666666666,8.0,0.08750000000000001
,1018.63,1012.53,-0.16666666666666666,19.7,14.2,16.6125,17.1,13.6,15.170833333333334,4.1,91.3875,96.0,81.0,212.95833333333334,12.9,0.22083333333333333
,1016.59,1011.18,-0.06541666666666666,19.9,16.4,17.912499999999998,17.9,15.7,16.529166666666665,31.3,91.74583333333334,96.0,84.0,192.79166666666666,12.9,0.3958333333333333
,1017.61,1011.18,0.21291666666666664,23.7,16.9,18.670833333333334,19.4,15.4,16.837500000000002,7.8999999999999995,89.27083333333333,96.0,74.0,173.04166666666666,17.7,0.6041666666666666
,1019.3,1015.58,0.07083333333333335,21.8,16.8,18.837500000000002,18.0,15.4,16.691666666666666,1.6,87.60000000000001,95.0,77.0,162.04166666666666,8.0,0.10833333333333334
,1024.04,1017.95,0.22666666666666668,21.6,15.4,17.9375,16.9,10.1,14.191666666666668,0.0,79.23333333333333,96.0,66.0,95.83333333333333,20.9,4.341666666666667
,1025.06,1021.67,-0.014166666666666666,20.3,14.2,16.283333333333335,12.8,10.1,11.416666666666666,0.0,73.22500000000001,85.0,60.0,140.33333333333334,14.5,1.0791666666666666
,1023.37,1017.61,-0.19875,22.0,14.9,17.458333333333332,15.6,12.2,14.158333333333333,0.0,81.49583333333334,91.0,64.0,226.29166666666666,19.3,1.5875000000000001
,1018.63,1011.18,-0.3116666666666667,23.0,15.8,18.645833333333332,15.8,14.2,15.112499999999999,0.0,80.80416666666666,93.0,61.0,206.04166666666666,19.3,1.575
,1016.59,1008.47,0.22625000000000003,22.3,11.8,16.891666666666666,15.9,10.2,13.362499999999999,0.0,80.67083333333333,95.0,59.0,203.70833333333334,24.1,0.6833333333333335
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
